station_ID,stations,Parking
1,I-485/South Boulevard,1
2,Sharon Rd West ,1
3,Arrowood,1
4,Archdale,1
5,Tyvola,1
6,Woodlawn,1
7,Scaleybark,0
8,New Bern,0
9,East/West Blvd,0
10,Bland St,0
11,Carson,0
12,Brooklyn Village,0
13,3rd St/Convention Center,0
14,Charlotte Transportation Center,0
15,7th St,0
16,9th St,0
17,Parkwood,0
18,25th St,0
19,36th St,0
20,Sugar Creek,1
21,Old Concord Road,1
22,Tom Hunter ,0
23,University City Blvd ,1
24,McCullough,0
25,JW Clay Blvd/UNC Charlotte,1
26,UNC Charlotte - Main,0
