Type,sources,Address,Reason(s)
Power Plant,GG Allen steam station ,"253 Plant Allen Rd, Belmont, NC 28012",Coal-fired power plant.
Neighbourhood,South End ,"South End, Charlotte, NC 28203","Once heavily industrial, still contains some light industrial facilities despite redevelopment."
Airport,Charlotte Douglas International Airport,"5501 Josh Birmingham Pkwy, Charlotte, NC 28208",
Intersection,Ardrey Kell Rd Rea Rd,"Ardrey Kell Rd Rea Rd, Charlotte, NC",
Intersection,Ardrey Kell Rd Tom Short Rd,"Ardrey Kell Rd Tom Short Rd, Charlotte, NC",
Intersection,Back Creek Church Rd Pavilion Blvd University City Blvd,"Back Creek Church Rd Pavilion Blvd University City Blvd, Charlotte, NC",
Intersection,Ballantyne Commons Pkwy Johnston Rd,"Ballantyne Commons Pkwy Johnston Rd, Charlotte, NC",
Intersection,Ballantyne Commons Pkwy Rea Rd,"Ballantyne Commons Pkwy Rea Rd, Charlotte, NC",
Intersection,Billy Graham Pkwy S Tryon St Woodlawn Rd,"Billy Graham Pkwy S Tryon St Woodlawn Rd, Charlotte, NC",
Intersection,Billy Graham Pkwy West Bv,"Billy Graham Pkwy West Bv, Charlotte, NC",
Intersection,Brookshire Blvd Mt Holly Huntersville Rd,"Brookshire Blvd Mt Holly Huntersville Rd, Charlotte, NC",
Intersection,Carmel Rd Colony Rd,"Carmel Rd Colony Rd, Charlotte, NC",
Intersection,Charlottetowne Av I-277 OL Ramp Kenilworth Av,"Charlottetowne Av I-277 OL Ramp Kenilworth Av, Charlotte, NC",
Intersection,Colony Rd Fairview Rd,"Colony Rd Fairview Rd, Charlotte, NC",
Intersection,Colville Rd Laurel Av Randolph Rd,"Colville Rd Laurel Av Randolph Rd, Charlotte, NC",
Intersection,Fairview Rd Park Road Tyvola Rd,"Fairview Rd Park Road Tyvola Rd, Charlotte, NC",
Intersection,Fairview Rd Providence Rd Sardis Rd,"Fairview Rd Providence Rd Sardis Rd, Charlotte, NC",
Intersection,Fairview Rd Sharon Rd,"Fairview Rd Sharon Rd, Charlotte, NC",
Intersection,I-85 Ramps Brookshire Blvd,"I-85 Ramps Brookshire Blvd, Charlotte, NC",
Intersection,Independence Blvd Village Lake Dr,"Independence Blvd Village Lake Dr, Charlotte, NC",
Intersection,Kings Dr Morehead St,"Kings Dr Morehead St, Charlotte, NC",
Intersection,Park Rd Woodlawn Rd,"Park Rd Woodlawn Rd, Charlotte, NC",
Intersection,Pineville-Matthews Rd Providence Rd,"Pineville-Matthews Rd Providence Rd, Charlotte, NC",
Intersection,Providence Rd Queens Rd,"Providence Rd Queens Rd, Charlotte, NC",
Intersection,Providence Rd Sharon Amity Rd,"Providence Rd Sharon Amity Rd, Charlotte, NC",
Intersection,Providence Rd Wendover Rd,"Providence Rd Wendover Rd, Charlotte, NC",
Intersection,Randolph Rd Sharon Amity Rd,"Randolph Rd Sharon Amity Rd, Charlotte, NC",
Intersection,Randolph Rd Wendover Rd,"Randolph Rd Wendover Rd, Charlotte, NC",
Intersection,Runnymede Ln Selwyn Av Woodlawn Rd,"Runnymede Ln Selwyn Av Woodlawn Rd, Charlotte, NC",
Intersection,South Blvd Tyvola Rd,"South Blvd Tyvola Rd, Charlotte, NC",
Intersection,South Blvd Woodlawn Rd,"South Blvd Woodlawn Rd, Charlotte, NC",
