year,date,holiday
2000,2000-01-01,New Year's Day
2000,2000-02-05,Chinese New Year
2000,2000-02-14,Valentine's Day
2000,2000-04-23,Easter Sunday
2000,2000-05-14,Mother's Day
2000,2000-06-18,Father's Day
2000,2000-07-04,Independence Day
2000,2000-10-31,Halloween
2000,2000-11-23,Thanksgiving Day
2000,2000-12-24,Christmas Eve
2000,2000-12-25,Christmas Day
2000,2000-12-31,New Year's Eve
2001,2001-01-01,New Year's Day
2001,2001-01-24,Chinese New Year
2001,2001-02-14,Valentine's Day
2001,2001-04-15,Easter Sunday
2001,2001-05-13,Mother's Day
2001,2001-06-17,Father's Day
2001,2001-07-04,Independence Day
2001,2001-10-31,Halloween
2001,2001-11-22,Thanksgiving Day
2001,2001-12-24,Christmas Eve
2001,2001-12-25,Christmas Day
2001,2001-12-31,New Year's Eve
2002,2002-01-01,New Year's Day
2002,2002-02-12,Chinese New Year
2002,2002-02-14,Valentine's Day
2002,2002-03-31,Easter Sunday
2002,2002-05-12,Mother's Day
2002,2002-06-16,Father's Day
2002,2002-07-04,Independence Day
2002,2002-10-31,Halloween
2002,2002-11-28,Thanksgiving Day
2002,2002-12-24,Christmas Eve
2002,2002-12-25,Christmas Day
2002,2002-12-31,New Year's Eve
2003,2003-01-01,New Year's Day
2003,2003-02-01,Chinese New Year
2003,2003-02-14,Valentine's Day
2003,2003-04-20,Easter Sunday
2003,2003-05-11,Mother's Day
2003,2003-06-15,Father's Day
2003,2003-07-04,Independence Day
2003,2003-10-31,Halloween
2003,2003-11-27,Thanksgiving Day
2003,2003-12-24,Christmas Eve
2003,2003-12-25,Christmas Day
2003,2003-12-31,New Year's Eve
2004,2004-01-01,New Year's Day
2004,2004-01-22,Chinese New Year
2004,2004-02-14,Valentine's Day
2004,2004-04-11,Easter Sunday
2004,2004-05-09,Mother's Day
2004,2004-06-20,Father's Day
2004,2004-07-04,Independence Day
2004,2004-10-31,Halloween
2004,2004-11-25,Thanksgiving Day
2004,2004-12-24,Christmas Eve
2004,2004-12-25,Christmas Day
2004,2004-12-31,New Year's Eve
2005,2005-01-01,New Year's Day
2005,2005-02-09,Chinese New Year
2005,2005-02-14,Valentine's Day
2005,2005-03-27,Easter Sunday
2005,2005-05-08,Mother's Day
2005,2005-06-19,Father's Day
2005,2005-07-04,Independence Day
2005,2005-10-31,Halloween
2005,2005-11-24,Thanksgiving Day
2005,2005-12-24,Christmas Eve
2005,2005-12-25,Christmas Day
2005,2005-12-31,New Year's Eve
2006,2006-01-01,New Year's Day
2006,2006-01-29,Chinese New Year
2006,2006-02-14,Valentine's Day
2006,2006-04-16,Easter Sunday
2006,2006-05-14,Mother's Day
2006,2006-06-18,Father's Day
2006,2006-07-04,Independence Day
2006,2006-10-31,Halloween
2006,2006-11-23,Thanksgiving Day
2006,2006-12-24,Christmas Eve
2006,2006-12-25,Christmas Day
2006,2006-12-31,New Year's Eve
2007,2007-01-01,New Year's Day
2007,2007-02-14,Valentine's Day
2007,2007-02-18,Chinese New Year
2007,2007-04-08,Easter Sunday
2007,2007-05-13,Mother's Day
2007,2007-06-17,Father's Day
2007,2007-07-04,Independence Day
2007,2007-10-31,Halloween
2007,2007-11-22,Thanksgiving Day
2007,2007-12-24,Christmas Eve
2007,2007-12-25,Christmas Day
2007,2007-12-31,New Year's Eve
2008,2008-01-01,New Year's Day
2008,2008-02-07,Chinese New Year
2008,2008-02-14,Valentine's Day
2008,2008-03-23,Easter Sunday
2008,2008-05-11,Mother's Day
2008,2008-06-15,Father's Day
2008,2008-07-04,Independence Day
2008,2008-10-31,Halloween
2008,2008-11-27,Thanksgiving Day
2008,2008-12-24,Christmas Eve
2008,2008-12-25,Christmas Day
2008,2008-12-31,New Year's Eve
2009,2009-01-01,New Year's Day
2009,2009-01-26,Chinese New Year
2009,2009-02-14,Valentine's Day
2009,2009-04-12,Easter Sunday
2009,2009-05-10,Mother's Day
2009,2009-06-21,Father's Day
2009,2009-07-04,Independence Day
2009,2009-10-31,Halloween
2009,2009-11-26,Thanksgiving Day
2009,2009-12-24,Christmas Eve
2009,2009-12-25,Christmas Day
2009,2009-12-31,New Year's Eve
2010,2010-01-01,New Year's Day
2010,2010-02-14,Valentine's Day
2010,2010-02-14,Chinese New Year
2010,2010-04-04,Easter Sunday
2010,2010-05-09,Mother's Day
2010,2010-06-20,Father's Day
2010,2010-07-04,Independence Day
2010,2010-10-31,Halloween
2010,2010-11-25,Thanksgiving Day
2010,2010-12-24,Christmas Eve
2010,2010-12-25,Christmas Day
2010,2010-12-31,New Year's Eve
2011,2011-01-01,New Year's Day
2011,2011-02-03,Chinese New Year
2011,2011-02-14,Valentine's Day
2011,2011-04-24,Easter Sunday
2011,2011-05-08,Mother's Day
2011,2011-06-19,Father's Day
2011,2011-07-04,Independence Day
2011,2011-10-31,Halloween
2011,2011-11-24,Thanksgiving Day
2011,2011-12-24,Christmas Eve
2011,2011-12-25,Christmas Day
2011,2011-12-31,New Year's Eve
2012,2012-01-01,New Year's Day
2012,2012-01-23,Chinese New Year
2012,2012-02-14,Valentine's Day
