"Type","sources","Address","Reason.s.","lon","lat","address","lat2","lon2","address2"
"Power Plant","GG Allen steam station ","253 Plant Allen Rd, Belmont, NC 28012","Coal-fired power plant.",-81.0085527,35.1898238,"253 plant allen rd, belmont, nc 28012, usa",35.1898238,-81.0085527,"253 plant allen rd, belmont, nc 28012, usa"
"Neighbourhood","South End ","South End, Charlotte, NC 28203","Once heavily industrial, still contains some light industrial facilities despite redevelopment.",-80.8587772,35.2125577,"south end, charlotte, nc 28203, usa",35.2125577,-80.8587772,"south end, charlotte, nc 28203, usa"
"Airport","Charlotte Douglas International Airport","5501 Josh Birmingham Pkwy, Charlotte, NC 28208","",-80.9539472,35.2163002,"charlotte douglas international airport (clt), 5501 josh birmingham pkwy, charlotte, nc 28208, usa",35.2163002,-80.9539472,"charlotte douglas international airport (clt), 5501 josh birmingham pkwy, charlotte, nc 28208, usa"
"Intersection","Ardrey Kell Rd Rea Rd","Ardrey Kell Rd Rea Rd, Charlotte, NC","",-80.8055383,35.0336061,"ardrey kell rd & rea rd, charlotte, nc 28277, usa",35.0336061,-80.8055383,"ardrey kell rd & rea rd, charlotte, nc 28277, usa"
"Intersection","Ardrey Kell Rd Tom Short Rd","Ardrey Kell Rd Tom Short Rd, Charlotte, NC","",-80.7939217,35.0406257,"ardrey kell rd & tom short rd, providence crossing, nc 28277, usa",35.0406257,-80.7939217,"ardrey kell rd & tom short rd, providence crossing, nc 28277, usa"
"Intersection","Back Creek Church Rd Pavilion Blvd University City Blvd","Back Creek Church Rd Pavilion Blvd University City Blvd, Charlotte, NC","",-80.7123599,35.3112693,"pavilion blvd & university city blvd, charlotte, nc 28262, usa",35.3112693,-80.7123599,"pavilion blvd & university city blvd, charlotte, nc 28262, usa"
"Intersection","Ballantyne Commons Pkwy Johnston Rd","Ballantyne Commons Pkwy Johnston Rd, Charlotte, NC","",-80.8501516,35.0545773,"ballantyne commons pkwy & johnston rd, charlotte, nc 28277, usa",35.0545773,-80.8501516,"ballantyne commons pkwy & johnston rd, charlotte, nc 28277, usa"
"Intersection","Ballantyne Commons Pkwy Rea Rd","Ballantyne Commons Pkwy Rea Rd, Charlotte, NC","",-80.8123589,35.0582131,"ballantyne commons pkwy & rea rd, charlotte, nc 28277, usa",35.0582131,-80.8123589,"ballantyne commons pkwy & rea rd, charlotte, nc 28277, usa"
"Intersection","Billy Graham Pkwy S Tryon St Woodlawn Rd","Billy Graham Pkwy S Tryon St Woodlawn Rd, Charlotte, NC","",-80.8892862,35.1806695,"s tryon st & billy graham pkwy, charlotte, nc 28217, usa",35.1806695,-80.8892862,"s tryon st & billy graham pkwy, charlotte, nc 28217, usa"
"Intersection","Billy Graham Pkwy West Bv","Billy Graham Pkwy West Bv, Charlotte, NC","",-80.9220454,35.2061364,"billy graham pkwy & west blvd, charlotte, nc 28208, usa",35.2061364,-80.9220454,"billy graham pkwy & west blvd, charlotte, nc 28208, usa"
