"year","date","holiday","formatted_date"
2003,"2003-11-27","Thanksgiving Day","2003-11-27"
2003,"2003-12-24","Christmas Eve","2003-12-24"
2003,"2003-12-25","Christmas Day","2003-12-25"
2003,"2003-12-31","New Year's Eve","2003-12-31"
2004,"2004-01-01","New Year's Day","2004-01-01"
2004,"2004-01-22","Chinese New Year","2004-01-22"
2004,"2004-02-14","Valentine's Day","2004-02-14"
2004,"2004-04-11","Easter Sunday","2004-04-11"
2004,"2004-05-09","Mother's Day","2004-05-09"
2004,"2004-06-20","Father's Day","2004-06-20"
2004,"2004-07-04","Independence Day","2004-07-04"
2004,"2004-10-31","Halloween","2004-10-31"
2004,"2004-11-25","Thanksgiving Day","2004-11-25"
2004,"2004-12-24","Christmas Eve","2004-12-24"
2004,"2004-12-25","Christmas Day","2004-12-25"
2004,"2004-12-31","New Year's Eve","2004-12-31"
2005,"2005-01-01","New Year's Day","2005-01-01"
2005,"2005-02-09","Chinese New Year","2005-02-09"
2005,"2005-02-14","Valentine's Day","2005-02-14"
2005,"2005-03-27","Easter Sunday","2005-03-27"
2005,"2005-05-08","Mother's Day","2005-05-08"
2005,"2005-06-19","Father's Day","2005-06-19"
2005,"2005-07-04","Independence Day","2005-07-04"
2005,"2005-10-31","Halloween","2005-10-31"
2005,"2005-11-24","Thanksgiving Day","2005-11-24"
2005,"2005-12-24","Christmas Eve","2005-12-24"
2005,"2005-12-25","Christmas Day","2005-12-25"
2005,"2005-12-31","New Year's Eve","2005-12-31"
2006,"2006-01-01","New Year's Day","2006-01-01"
2006,"2006-01-29","Chinese New Year","2006-01-29"
2006,"2006-02-14","Valentine's Day","2006-02-14"
2006,"2006-04-16","Easter Sunday","2006-04-16"
2006,"2006-05-14","Mother's Day","2006-05-14"
2006,"2006-06-18","Father's Day","2006-06-18"
2006,"2006-07-04","Independence Day","2006-07-04"
2006,"2006-10-31","Halloween","2006-10-31"
2006,"2006-11-23","Thanksgiving Day","2006-11-23"
2006,"2006-12-24","Christmas Eve","2006-12-24"
2006,"2006-12-25","Christmas Day","2006-12-25"
2006,"2006-12-31","New Year's Eve","2006-12-31"
2007,"2007-01-01","New Year's Day","2007-01-01"
2007,"2007-02-14","Valentine's Day","2007-02-14"
2007,"2007-02-18","Chinese New Year","2007-02-18"
2007,"2007-04-08","Easter Sunday","2007-04-08"
2007,"2007-05-13","Mother's Day","2007-05-13"
2007,"2007-06-17","Father's Day","2007-06-17"
2007,"2007-07-04","Independence Day","2007-07-04"
2007,"2007-10-31","Halloween","2007-10-31"
2007,"2007-11-22","Thanksgiving Day","2007-11-22"
2007,"2007-12-24","Christmas Eve","2007-12-24"
2007,"2007-12-25","Christmas Day","2007-12-25"
2007,"2007-12-31","New Year's Eve","2007-12-31"
2008,"2008-01-01","New Year's Day","2008-01-01"
2008,"2008-02-07","Chinese New Year","2008-02-07"
2008,"2008-02-14","Valentine's Day","2008-02-14"
2008,"2008-03-23","Easter Sunday","2008-03-23"
2008,"2008-05-11","Mother's Day","2008-05-11"
2008,"2008-06-15","Father's Day","2008-06-15"
2008,"2008-07-04","Independence Day","2008-07-04"
2008,"2008-10-31","Halloween","2008-10-31"
2008,"2008-11-27","Thanksgiving Day","2008-11-27"
2008,"2008-12-24","Christmas Eve","2008-12-24"
2008,"2008-12-25","Christmas Day","2008-12-25"
2008,"2008-12-31","New Year's Eve","2008-12-31"
2009,"2009-01-01","New Year's Day","2009-01-01"
2009,"2009-01-26","Chinese New Year","2009-01-26"
2009,"2009-02-14","Valentine's Day","2009-02-14"
2009,"2009-04-12","Easter Sunday","2009-04-12"
2009,"2009-05-10","Mother's Day","2009-05-10"
2009,"2009-06-21","Father's Day","2009-06-21"
2009,"2009-07-04","Independence Day","2009-07-04"
2009,"2009-10-31","Halloween","2009-10-31"
2009,"2009-11-26","Thanksgiving Day","2009-11-26"
2009,"2009-12-24","Christmas Eve","2009-12-24"
2009,"2009-12-25","Christmas Day","2009-12-25"
2009,"2009-12-31","New Year's Eve","2009-12-31"
2010,"2010-01-01","New Year's Day","2010-01-01"
2010,"2010-02-14","Valentine's Day","2010-02-14"
2010,"2010-02-14","Chinese New Year","2010-02-14"
2010,"2010-04-04","Easter Sunday","2010-04-04"
2010,"2010-05-09","Mother's Day","2010-05-09"
2010,"2010-06-20","Father's Day","2010-06-20"
2010,"2010-07-04","Independence Day","2010-07-04"
2010,"2010-10-31","Halloween","2010-10-31"
2010,"2010-11-25","Thanksgiving Day","2010-11-25"
2010,"2010-12-24","Christmas Eve","2010-12-24"
2010,"2010-12-25","Christmas Day","2010-12-25"
2010,"2010-12-31","New Year's Eve","2010-12-31"
2011,"2011-01-01","New Year's Day","2011-01-01"
2011,"2011-02-03","Chinese New Year","2011-02-03"
2011,"2011-02-14","Valentine's Day","2011-02-14"
2011,"2011-04-24","Easter Sunday","2011-04-24"
2011,"2011-05-08","Mother's Day","2011-05-08"
2011,"2011-06-19","Father's Day","2011-06-19"
2011,"2011-07-04","Independence Day","2011-07-04"
2011,"2011-10-31","Halloween","2011-10-31"
2011,"2011-11-24","Thanksgiving Day","2011-11-24"
