"stations","Opening.Dates","Parking","lon","lat","address","lat2","lon2","address2","station_ID"
"I-485/South Boulevard","November 24, 2007",TRUE,-80.882919,35.107082,"i-485/south boulevard station, charlotte, nc 28134, usa",35.107082,-80.882919,"i-485/south boulevard station, charlotte, nc 28134, usa",1
"Sharon Road West station","November 24, 2007",TRUE,-80.882192,35.119266,"sharon road west station, charlotte, nc 28134, usa",35.119266,-80.882192,"sharon road west station, charlotte, nc 28134, usa",2
"Arrowood station","November 24, 2007",TRUE,-80.8763652,35.1356865,"arrowood, 7717 england st, charlotte, nc 28273, usa",35.1356865,-80.8763652,"arrowood, 7717 england st, charlotte, nc 28273, usa",3
"Archdale station","November 24, 2007",TRUE,-80.877485,35.152897,"archdale, charlotte, nc 28217, usa",35.152897,-80.877485,"archdale, charlotte, nc 28217, usa",4
"Tyvola station","November 24, 2007",TRUE,-80.8774958,35.1628507,"tyvola, 5703 old pineville rd, charlotte, nc 28217, usa",35.1628507,-80.8774958,"tyvola, 5703 old pineville rd, charlotte, nc 28217, usa",5
"Woodlawn station (Charlotte)","November 24, 2007",TRUE,-80.8792989,35.1758966,"woodlawn station, charlotte, nc 28217, usa",35.1758966,-80.8792989,"woodlawn station, charlotte, nc 28217, usa",6
"Scaleybark station","November 24, 2007",FALSE,-80.8750142,35.1909172,"scaleybark, charlotte, nc 28217, usa",35.1909172,-80.8750142,"scaleybark, charlotte, nc 28217, usa",7
"New Bern station","November 24, 2007",FALSE,-80.8690436,35.1998463,"new bern station, charlotte, nc 28209, usa",35.1998463,-80.8690436,"new bern station, charlotte, nc 28209, usa",8
"East/West Boulevard station","August 30, 1996 |  (rebuilt November 24, 2007
) ",FALSE,-80.8589487,35.2121155,"east/west station, charlotte, nc 28203, usa",35.2121155,-80.8589487,"east/west station, charlotte, nc 28203, usa",9
"Bland Street station","August 30, 1996 |  (rebuilt November 24, 2007
) ",FALSE,-80.8552467,35.2158177,"bland, charlotte, nc 28203, usa",35.21622,-80.85446,"1511 Camden Road, charlotte, nc, usa",10
"Carson light rail station (Charlotte)","November 24, 2007",FALSE,-80.8431267,35.2270869,"charlotte, nc, usa",35.21944,-80.84823,"218 East Carson Boulevard, charlotte, nc, usa",11
"Brooklyn Village (Charlotte)","August 30, 1996 |  (rebuilt November 24, 2007
) ",FALSE,-80.8429879,35.218665,"e brooklyn vlg ave, charlotte, nc, usa",35.218665,-80.8429879,"e brooklyn vlg ave, charlotte, nc, usa",12
"Third Street/Convention Center station","June 28, 2004 | (rebuilt November 24, 2007) ",FALSE,-80.8431172,35.223752,"3rd st./convention center, charlotte, nc 28244, usa",35.223752,-80.8431172,"3rd st./convention center, charlotte, nc 28244, usa",13
"Charlotte Transportation Center","November 24, 2007",FALSE,-80.8431267,35.2270869,"charlotte, nc, usa",35.21944,-80.84823,"310 East Trade Street, charlotte, nc, usa",14
"7th Street station (Charlotte)","June 28, 2004 | (rebuilt November 24, 2007) ",FALSE,-80.8379829,35.2275061,"7th st station, charlotte, nc 28202, usa",35.2275061,-80.8379829,"7th st station, charlotte, nc 28202, usa",15
"9th Street station (Charlotte)","June 24, 2004 | (rebuilt March 16, 2018)",FALSE,-80.8351625,35.2294766,"239 e 9th st, charlotte, nc 28202, usa",35.2294766,-80.8351625,"239 e 9th st, charlotte, nc 28202, usa",16
"Parkwood station","March 16, 2018",FALSE,-80.8232332,35.2368856,"parkwood, charlotte, nc 28206, usa",35.2368856,-80.8232332,"parkwood, charlotte, nc 28206, usa",17
"25th Street station (Charlotte)","March 16, 2018",FALSE,-80.8170802,35.2417357,"25th street, charlotte, nc 28206, usa",35.2417357,-80.8170802,"25th street, charlotte, nc 28206, usa",18
"36th Street station (Charlotte)","March 16, 2018",FALSE,-80.8054513,35.2485403,"36th street station, charlotte, nc 28205, usa",35.2485403,-80.8054513,"36th street station, charlotte, nc 28205, usa",19
"Sugar Creek station (Charlotte)","March 16, 2018",TRUE,-80.7918369,35.251055,"sugar creek station, bearwood ave, charlotte, nc 28205, usa",35.251055,-80.7918369,"sugar creek station, bearwood ave, charlotte, nc 28205, usa",20
"Old Concord Road station","March 16, 2018",TRUE,-80.7727144,35.2599632,"old concord road station, charlotte, nc 28213, usa",35.2599632,-80.7727144,"old concord road station, charlotte, nc 28213, usa",21
"Tom Hunter station","March 16, 2018",FALSE,-80.7662863,35.2779461,"tom hunter station, charlotte, nc 28213, usa",35.2779461,-80.7662863,"tom hunter station, charlotte, nc 28213, usa",22
"University City Blvd station","March 16, 2018",TRUE,-80.7607365,35.2869215,"university city blvd, 7205 n tryon st, charlotte, nc 28262, usa",35.2869215,-80.7607365,"university city blvd, 7205 n tryon st, charlotte, nc 28262, usa",23
"McCullough station","March 16, 2018",FALSE,-80.752875,35.301124,"mccullough, 8312 n tryon st, charlotte, nc 28262, usa",35.301124,-80.752875,"mccullough, 8312 n tryon st, charlotte, nc 28262, usa",24
"JW Clay Blvd/UNC Charlotte station","March 16, 2018",TRUE,-80.7450265,35.3108328,"9234-9300 n tryon st, charlotte, nc 28262, usa",35.31155,-80.74547,"9048 North Tryon Street, charlotte, nc, usa",25
"UNC Charlotte–Main station","March 16, 2018",FALSE,-80.7337083,35.312183,"unc charlotte main station, 9025 cameron blvd, charlotte, nc 28262, usa",35.312183,-80.7337083,"unc charlotte main station, 9025 cameron blvd, charlotte, nc 28262, usa",26
